Id,redfin_url,redfin_value,status,fetched_at
11156480,https://www.redfin.com/MI/Birmingham/895-Puritan-Ave-48009/home/99203700,1754556,ok,2026-05-25T16:57:51.9063129Z
11159220,https://www.redfin.com/MI/Birmingham/968-Bennaville-Ave-48009/home/99208155,1602769,ok,2026-05-25T16:57:55.2480275Z
11217633,https://www.redfin.com/MI/Birmingham/1735-Shipman-Blvd-48009/home/61209926,691839,ok,2026-05-25T16:57:57.4782046Z
11232823,https://www.redfin.com/MI/Birmingham/910-Fairfax-St-48009/home/61254616,960958,ok,2026-05-25T16:58:00.7564294Z
11232942,https://www.redfin.com/MI/Birmingham/358-Henley-St-48009/home/61241098,735349,ok,2026-05-25T16:58:02.9606943Z
11246782,https://www.redfin.com/MI/Birmingham/1424-Yorkshire-Rd-48009/home/61254536,1033703,ok,2026-05-25T16:58:06.1590484Z
11272112,https://www.redfin.com/MI/Birmingham/220-Ravine-Rd-48009/home/61251340,730091,ok,2026-05-25T16:58:08.2786523Z
11273934,https://www.redfin.com/MI/Birmingham/2456-Pembroke-Rd-48009/home/99214445,474431,ok,2026-05-25T16:58:11.4868865Z
11319967,https://www.redfin.com/MI/Birmingham/1455-S-Eton-St-48009/home/99215116,459708,ok,2026-05-25T16:58:13.7232067Z
11334379,https://www.redfin.com/MI/Birmingham/1265-Lakeside-Dr-48009/home/61257354,1014744,ok,2026-05-25T16:58:16.8179581Z
1144012,https://www.redfin.com/MI/Birmingham/1746-Henrietta-St-48009/home/61134743,389366,ok,2026-05-25T15:31:41.0249717Z
1144013,https://www.redfin.com/MI/Birmingham/1829-Norfolk-St-48009/home/61256871,1017569,ok,2026-05-25T15:31:44.4090397Z
1144014,https://www.redfin.com/MI/Birmingham/1991-Shipman-Blvd-48009/home/99207995,675693,ok,2026-05-25T15:31:48.1345113Z
1144015,https://www.redfin.com/MI/Birmingham/1957-Shipman-Blvd-48009/home/99024300,479215,ok,2026-05-25T15:31:51.5694396Z
1144016,https://www.redfin.com/MI/Birmingham/1976-Shipman-Blvd-48009/home/99208014,1458281,ok,2026-05-25T15:31:55.9505664Z
1144017,https://www.redfin.com/MI/Birmingham/1992-Shipman-Blvd-48009/home/61197835,1242573,ok,2026-05-25T15:31:59.6707411Z
1144018,https://www.redfin.com/MI/Birmingham/1958-Shipman-Blvd-48009/home/99208010,774444,ok,2026-05-25T15:32:03.6782379Z
1144020,https://www.redfin.com/MI/Birmingham/1932-Shipman-Blvd-48009/home/99208011,1912652,ok,2026-05-25T15:32:07.5867149Z
1144021,https://www.redfin.com/MI/Birmingham/1905-Shipman-Blvd-48009/home/59337182,1354381,ok,2026-05-25T15:32:11.2950997Z
1144022,https://www.redfin.com/MI/Birmingham/1899-Shipman-Blvd-48009/home/99207993,491784,ok,2026-05-25T15:32:15.7074259Z
1144023,https://www.redfin.com/MI/Birmingham/1904-Shipman-Blvd-48009/home/99208012,1777574,ok,2026-05-25T15:32:19.2906823Z
11440364,https://www.redfin.com/MI/Birmingham/1003-E-14-Mile-Rd-48009/home/61250298,621064,ok,2026-05-25T16:58:19.2750640Z
11442317,https://www.redfin.com/MI/Birmingham/1843-S-Bates-St-48009/home/61258449,1223607,ok,2026-05-25T16:58:22.1924686Z
11443266,https://www.redfin.com/MI/Birmingham/1629-Banbury-St-48009/home/61259731,806646,ok,2026-05-25T16:58:24.9061945Z
11446229,https://www.redfin.com/MI/Birmingham/1125-Davis-Ave-48009/home/61256888,1139203,ok,2026-05-25T16:58:26.4276984Z
11544515,https://www.redfin.com/MI/Birmingham/1340-Puritan-Ave-48009/home/61256850,1555978,ok,2026-05-25T16:58:30.3651959Z
11570706,https://www.redfin.com/MI/Birmingham/941-Forest-Ave-48009/home/61230070,619982,ok,2026-05-25T16:58:32.0548596Z
11574279,https://www.redfin.com/MI/Birmingham/2123-Dorchester-Rd-48009/home/99214364,426275,ok,2026-05-25T16:58:35.6373259Z
11588652,https://www.redfin.com/MI/Birmingham/2316-Windemere-Rd-48009/home/61219962,849475,ok,2026-05-25T16:58:37.4731789Z
11623239,https://www.redfin.com/MI/Birmingham/856-Lakeview-Ave-48009/home/99202799,1488493,ok,2026-05-25T16:58:40.9984823Z
11624274,https://www.redfin.com/MI/Birmingham/787-Greenwood-St-48009/home/61250131,1100902,ok,2026-05-25T16:58:42.7312621Z
11624952,https://www.redfin.com/MI/Birmingham/1656-Washington-Blvd-48009/home/61254566,1018892,ok,2026-05-25T16:58:46.4506666Z
11625876,https://www.redfin.com/MI/Birmingham/443-Wellesley-St-48009/home/61258236,915701,ok,2026-05-25T16:58:48.0562924Z
11676521,https://www.redfin.com/MI/Birmingham/1235-E-Lincoln-St-48009/home/59332515,812985,ok,2026-05-25T16:58:52.2760268Z
11900572,https://www.redfin.com/MI/Birmingham/833-Mohegan-St-48009/home/61258170,1546212,ok,2026-05-25T16:58:53.7746271Z
11900932,https://www.redfin.com/MI/Birmingham/1166-Pierce-St-48009/home/61259164,1021561,ok,2026-05-25T16:58:57.5230313Z
11900969,https://www.redfin.com/MI/Birmingham/1671-Yosemite-Blvd-48009/home/61204214,456566,ok,2026-05-25T16:58:59.2097462Z
11901024,https://www.redfin.com/MI/Birmingham/975-Mohegan-St-48009/home/61256132,1368464,ok,2026-05-25T16:59:02.8562602Z
11905916,https://www.redfin.com/MI/Birmingham/452-Park-St-48009/home/99202964,749110,ok,2026-05-25T16:59:04.8121010Z
11911822,https://www.redfin.com/MI/Birmingham/439-Park-St-48009/home/99203087,757427,ok,2026-05-25T16:59:08.1857163Z
11911823,https://www.redfin.com/MI/Birmingham/444-Wimbleton-Dr-48009/home/59335741,1102686,ok,2026-05-25T16:59:10.2568599Z
11911824,https://www.redfin.com/MI/Birmingham/342-Henley-St-48009/home/99202671,1193062,ok,2026-05-25T16:59:13.7189139Z
11911828,https://www.redfin.com/MI/Birmingham/720-Kennesaw-St-48009/home/99202891,1677330,ok,2026-05-25T16:59:15.9525242Z
11911829,https://www.redfin.com/MI/Birmingham/512-Rivenoak-St-48009/home/74815562,1493312,ok,2026-05-25T16:59:18.9148301Z
11911830,https://www.redfin.com/MI/Birmingham/636-Wimbleton-Dr-48009/home/99202732,1185039,ok,2026-05-25T16:59:21.5254662Z
11945994,https://www.redfin.com/MI/Birmingham/711-Smith-Ave-48009/home/61241280,851241,ok,2026-05-25T16:59:24.5601983Z
11954820,https://www.redfin.com/MI/Birmingham/539-Stanley-Blvd-48009/home/61259766,993381,ok,2026-05-25T16:59:27.0328890Z
12039095,https://www.redfin.com/MI/Birmingham/907-Ruffner-Ave-48009/home/61197463,843586,ok,2026-05-25T16:59:30.1046437Z
12045612,https://www.redfin.com/MI/Birmingham/860-Bird-Ave-48009/home/99208390,1103543,ok,2026-05-25T16:59:32.5416336Z
12089006,https://www.redfin.com/MI/Birmingham/532-Bennaville-Ave-48009/home/61203524,666744,ok,2026-05-25T16:59:35.6978669Z
12089018,https://www.redfin.com/MI/Birmingham/971-Pierce-St-48009/home/61255348,1936984,ok,2026-05-25T16:59:38.1828823Z
12140273,https://www.redfin.com/MI/Birmingham/1733-Pembroke-Rd-48009/home/61134851,1729087,ok,2026-05-25T16:59:41.2256880Z
12153586,https://www.redfin.com/MI/Birmingham/426-Bird-Ave-48009/home/61198365,1402843,ok,2026-05-25T16:59:43.5052143Z
12153668,https://www.redfin.com/MI/Birmingham/166-W-Lincoln-St-48009/home/61343239,1210973,ok,2026-05-25T16:59:46.7581956Z
12153686,https://www.redfin.com/MI/Birmingham/1050-Davis-Ave-48009/home/61259999,991306,ok,2026-05-25T16:59:49.6642536Z
12153745,https://www.redfin.com/MI/Birmingham/1493-Maryland-Blvd-48009/home/59328028,1413645,ok,2026-05-25T16:59:53.2727027Z
12153867,https://www.redfin.com/MI/Birmingham/1776-Winthrop-Ln-48009/home/61260106,753274,ok,2026-05-25T16:59:54.9672386Z
12154243,https://www.redfin.com/MI/Birmingham/2747-Manchester-Rd-48009/home/61227801,693828,ok,2026-05-25T16:59:58.5796570Z
12211266,https://www.redfin.com/MI/Birmingham/595-Kimberly-St-48009/home/61250415,911018,ok,2026-05-25T17:00:00.8569391Z
12273126,https://www.redfin.com/MI/Birmingham/1516-E-Melton-Rd-48009/home/74784730,428187,ok,2026-05-25T17:00:03.9743760Z
12337653,https://www.redfin.com/MI/Birmingham/1591-Webster-St-48009/home/61197662,453599,ok,2026-05-25T17:00:07.4556863Z
12337654,https://www.redfin.com/MI/Birmingham/1972-Cole-St-48009/home/61176168,317591,ok,2026-05-25T17:00:09.7397740Z
12337655,https://www.redfin.com/MI/Birmingham/1455-E-Melton-Rd-48009/home/61219939,491271,ok,2026-05-25T17:00:12.8649766Z
12337657,https://www.redfin.com/MI/Birmingham/1847-E-Lincoln-St-48009/home/99214868,381859,ok,2026-05-25T17:00:15.1771622Z
